,trueAlpha,trueTau,recovAlpha,recoveTau,cost,r
0,0.3195693927232458,0.5918593340291007,0.927128743785133,0.6064494177491498,1298.0,"(0.5318907835939239, 2.063915875775613e-05)"
0,0.2717854958267,0.4347422526201807,0.21837208933261254,0.30933635047045693,1550.0,"(0.4712494383339605, 0.00021564600120363382)"
0,0.46064389559494867,0.5513619879362002,0.2365952618769854,0.3527545061490855,1521.0,"(0.4325267890387793, 0.0007790877548826035)"
0,0.6913738423920346,0.22705346832920506,0.7159469604311142,0.46385106408052573,1219.0,"(0.46858545390305784, 0.0002367401842346805)"
0,0.9453246112503302,0.5240174881820238,0.5004184183768475,0.6173265800867522,1616.0,"(0.53125533312695, 2.120331373660922e-05)"
0,0.42771090266577105,0.4484861533527387,0.23639091643607785,0.46976140872254907,991.0,"(0.5213864648064949, 3.201150787431507e-05)"
0,0.0419695144966129,0.8214694938626974,0.6391371474693495,0.21210075595194988,1381.0,"(0.5098782443121548, 5.093713014847913e-05)"
0,0.050074218328462594,0.45890491086568386,0.7955459435073083,0.15730622948463605,934.0,"(0.5414964916953454, 1.3637753028960863e-05)"
0,0.6341617782058392,0.26849545253561086,0.0705207404833863,0.6730857717734483,1250.0,"(0.524318357208459, 2.8362024879036667e-05)"
0,0.5416630633834212,0.8625519142565357,0.7748481836735035,0.8343788709098977,1274.0,"(0.43869767365110524, 0.0006412784101649762)"
0,0.16707936559577952,0.6966043826345566,0.7775177497918796,0.2647922653468342,1422.0,"(0.3236219255933962, 0.014063420772660339)"
0,0.43135942825613505,0.03702533930259847,0.6928713906958704,0.6099974273606333,1151.0,"(0.5082680304234384, 5.428566861046333e-05)"
0,0.813335096789149,0.825618853438692,0.21839453955220586,0.004573099554841439,1122.0,"(0.6976047070008841, 1.6397845170933576e-09)"
0,0.8148673403488849,0.011132405134615421,0.6753691163113078,0.7855985627983626,912.0,"(0.4125028970221772, 0.0014295687162977754)"
0,0.8176416128038608,0.7937052810813965,0.9147920408802166,0.4353416318938835,1118.0,"(0.6359189047551863, 1.0645914062000543e-07)"
0,0.23139902751581753,0.1941875996349595,0.3207211657076024,0.6219384718711292,1151.0,"(0.580597431649047, 2.1975782525815413e-06)"
0,0.6614942717844019,0.018542183030850198,0.9846285963663816,0.660466515977193,1356.0,"(0.4828135022580209, 0.00014252990950033322)"
0,0.48345893624191894,0.4214149755188488,0.3386394050355781,0.8807902786947114,818.0,"(0.6446128276074085, 6.2573432898279e-08)"
0,0.6766178763172856,0.7969022979443524,0.7438175078619658,0.09028153449835441,820.0,"(0.5171332711820572, 3.808111704689769e-05)"
0,0.12999986600522728,0.4240660513077907,0.8022065243740386,0.6861184840878572,1361.0,"(0.42203810085171306, 0.0010756695065011232)"
0,0.5422027374557492,0.4434569931482593,0.6498018344002054,0.6598676715974076,1063.0,"(0.4240967120689279, 0.0010104974597271647)"
0,0.8752754002162833,0.7250151434842507,0.48510662455270287,0.5368773035205364,1079.0,"(0.6165418624019513, 3.2850367181758255e-07)"
