,trueAlpha,trueTau,recovAlpha,recovTau,cost,r
72,0.9129901648508255,0.8414587292089842,0.5470857292188922,0.4556475297084466,1447.0,0.172294710984145
73,0.3510666927106093,0.2836448285163932,0.27199595444316116,0.38068463569097116,1591.0,0.5862761456708718
74,0.17917805256753927,0.1260441723425908,0.30228145094921377,0.16014847536518595,409.0,0.8494557977975602
75,0.566007313736355,0.09647607904638554,0.20090769577783665,0.03180327797661328,320.0,0.9142548248237109
76,0.2885115618497035,0.3603350164778063,0.10626347408667361,0.21722883790680997,965.0,0.46146287919273066
77,0.8501695535156394,0.39279194271662227,0.7298666596184589,0.100480654833695,590.0,0.6605404532906965
78,0.7304372125879043,0.17079868514688779,0.941997130774386,0.4155585529111617,859.0,0.4506181549423115
79,0.9022110913351645,0.7855805717964183,0.4800485594658917,0.24518117263040068,771.0,0.6541547095343606
80,0.7344459677700046,0.26139234935960604,0.9806174287362022,0.8145195519352528,894.0,0.4286930663144188
81,0.16919658430733597,0.015740987828464423,0.20508044618562118,0.016188586769432266,24.0,0.9904126155319448
82,0.2580497511540397,0.7476085549213806,0.020103857624657363,0.11793826201030153,733.0,0.6080417878414607
83,0.2265204681663857,0.3011432999745475,0.12853540836083932,0.2851360601679258,1232.0,0.5741114884324054
84,0.8645487787016573,0.21180010400886728,0.8306708586152806,0.7665652467262484,696.0,0.6646015048819903
85,0.49199293587795934,0.12139048634796482,0.8489012187411951,0.25723661529538255,849.0,0.7088679221875906
86,0.737057328468167,0.34811613309266964,0.3663309809845095,0.146204081680321,708.0,0.6880300995752187
87,0.2893984476050282,0.4750905247880673,0.8010587662400587,0.4334823368261174,919.0,0.35504358895146804
88,0.04035641448212235,0.5611892528214821,0.25881315973885805,0.460861897530644,1099.0,0.6379823061523453
89,0.7158941076740897,0.037046409832931254,0.28792322129639947,0.08844124663964632,146.0,0.5578692257659061
90,0.029638083304129537,0.09398861954313349,0.02563304242714325,0.03910904491137134,388.0,0.7342293180656793
91,0.11607140933692373,0.8787815194552728,0.15933551434155885,0.32676562218573485,1050.0,0.5344264994920729
92,0.341489399515716,0.3136254767071478,0.5785661534743654,0.36011275255868924,616.0,0.6437236102494845
93,0.000882389276589457,0.9491625265552932,0.9527185535455674,0.6611715876384752,1236.0,0.7321866782248869
94,0.9346835223157631,0.3766489387472197,0.7518563184967755,0.5636311324453833,1013.0,0.4708565231616694
95,0.8275421858727868,0.7536018280935858,0.10692556600871132,0.4835729035387789,918.0,0.6287058498865815
96,0.09660548540359448,0.5663947862854755,0.8086152643201936,0.037677032132051265,665.0,0.8057117128064203
